# lbd[m] R[-] T[-]
7.120000000000000228e-07 9.423643336812960181e-01 1.170689208694835670e-05
7.140000000000000672e-07 9.277125054629827838e-01 5.924426564703710006e-05
7.160000000000000057e-07 8.945619916097196089e-01 4.286742519163126621e-04
7.180000000000000501e-07 7.748066457470577095e-01 5.434933139693566041e-03
7.200000000000000945e-07 6.613114511258118000e-01 3.260974972690205975e-02
7.220000000000000330e-07 6.799278293853454613e-01 4.947087007909300310e-02
7.240000000000000774e-07 3.916033706065384923e-01 1.274777082970735831e-01
7.260000000000000159e-07 4.489501767340275395e-01 1.504646214127977888e-01
7.280000000000000602e-07 6.160157765451143019e-01 1.210768586613051312e-01
7.299999999999999987e-07 5.512093808647666737e-01 1.536029295318412091e-01
7.320000000000000431e-07 2.915291397346044810e-01 2.647719071468657148e-01
7.340000000000000875e-07 2.010085981369933439e-01 3.282547925952251089e-01
7.360000000000000260e-07 4.318060790450929942e-01 2.515832347128263979e-01
7.380000000000000704e-07 5.355053386807372418e-01 2.154576020221157517e-01
7.400000000000000089e-07 4.919948802275890265e-01 2.434124033632013018e-01
7.420000000000000532e-07 3.275118515025232102e-01 3.329662115989317495e-01
7.440000000000000976e-07 1.298804761510692907e-01 4.477443483461834850e-01
7.460000000000000361e-07 1.617517119195430175e-01 4.486293243452798007e-01
7.480000000000000805e-07 3.409567306583289881e-01 3.646396381877425874e-01
7.500000000000000190e-07 4.501398907834238128e-01 3.117441451688683918e-01
7.520000000000000634e-07 4.602233970288217013e-01 3.116289609484393375e-01
7.540000000000000019e-07 3.738849662720807321e-01 3.675315094510343550e-01
7.560000000000000463e-07 2.091485011872548094e-01 4.731188140158887889e-01
7.580000000000000906e-07 8.113570471683460850e-02 5.616812555893839765e-01
7.600000000000000291e-07 1.412071222886662203e-01 5.364799206060875125e-01
7.620000000000000735e-07 2.848771721890042685e-01 4.549487401520173058e-01
7.640000000000000120e-07 3.836184507843007352e-01 3.978735652104025688e-01
7.660000000000000564e-07 4.104590187299510529e-01 3.849455130853323692e-01
7.680000000000001008e-07 3.691170108324416388e-01 4.161688018284366297e-01
7.700000000000000393e-07 2.662168902644643786e-01 4.892410645867156238e-01
7.720000000000000837e-07 1.327643230978413358e-01 5.851238365077691128e-01
7.740000000000000221e-07 6.259106676399252278e-02 6.406916438535190661e-01
7.760000000000000665e-07 1.199748553070646012e-01 6.092829750009964851e-01
7.780000000000000050e-07 2.366306415983628342e-01 5.347712264146771144e-01
7.800000000000000494e-07 3.274952843895315158e-01 4.758603379288410817e-01
7.820000000000000938e-07 3.645075602786000957e-01 4.533170832068408873e-01
7.840000000000000323e-07 3.494440740401361656e-01 4.674181072846599894e-01
7.860000000000000767e-07 2.858622418592482450e-01 5.167718986486222743e-01
7.880000000000000152e-07 1.860944537285774969e-01 5.934800705688056954e-01
7.900000000000000595e-07 8.882356045825684498e-02 6.699440932662926729e-01
7.919999999999999980e-07 5.569951612122001766e-02 7.002641882255293826e-01
7.940000000000000424e-07 1.106241963222127783e-01 6.651523530200038614e-01
7.960000000000000868e-07 2.048489548262688309e-01 5.994043057307895106e-01
7.980000000000000253e-07 2.839752346128043281e-01 5.435750904261161809e-01
8.000000000000000697e-07 3.249602252670076852e-01 5.156536253538982484e-01
